1,+,1,580.0,140.0,P1, ,
2,+,1,2001.0,78.0,P2, ,
3,+,1,1861.0,160.0,P3, ,
4,+,1,890.0,107.0,P3, ,
5,+,1,806.0,96.0,, ,
6,+,2,787.0,102.0,, ,
7,+,1,868.0,152.0,, ,
8,+,1,834.0,190.0,, ,
9,+,1,585.0,350.0,, ,
10,+,1,1848.0,122.0,, ,
11,+,1,1849.0,89.0,, ,
12,+,1,2740.0,90.0,, ,
13,+,1,1324.0,459.0,, ,
14,+,1,2740.0,133.0,, ,
15,+,1,1050.0,134.0,, ,
16,+,1,1050.0,275.0,RETALHO_CADASTRADO_20251110_151437, ,
17,+,1,1050.0,275.0,RETALHO_CADASTRADO_20251110_151437, ,
18,+,1,745.0,716.0,RETALHO_CADASTRADO_20251110_151437, ,
19,+,1,870.0,388.0,RETALHO_CADASTRADO_20251110_151437, ,
20,+,1,863.0,320.0,RETALHO_CADASTRADO_20251110_151437, ,
21,+,1,460.0,536.0,RETALHO_CADASTRADO_20251110_151437, ,
22,+,1,915.0,1845.0,RETALHO_CADASTRADO_20251110_151437, ,
23,+,1,1541.0,295.0,RETALHO_CADASTRADO_20251110_151437, ,
24,+,1,2420.0,362.0, , ,
